dataset,metric,raw_value,final_value,delta,pct_of_raw
sentnob,n_rows,15728.0000,14353.0000,-1375.0000,91.26
sentnob,n_duplicate_rows,859.0000,759.0000,-100.0000,88.36
sentnob,n_empty_or_whitespace,0.0000,0.0000,0.0000,0.00
sentnob,n_zero_bangla,6.0000,0.0000,-6.0000,0.00
sentnob,n_replacement_char,0.0000,0.0000,0.0000,0.00
sentnob,n_emoji_bearing,266.0000,254.0000,-12.0000,95.49
sentnob,pct_char_replacement,0.0000,0.0000,0.0000,0.00
sentnob,pct_char_emoji,0.0479,0.0507,0.0028,105.83
sentnob,pct_char_bengali,79.6689,80.3084,0.6394,100.80
sentnob,pct_char_latin,0.0000,0.0003,0.0003,0.00
sentnob,pct_char_digit,0.2031,0.2191,0.0160,107.86
sentnob,pct_char_punctuation,1.5347,1.5395,0.0048,100.31
sentnob,pct_char_whitespace,18.4490,17.8097,-0.6393,96.53
sentnob,pct_char_other,0.0963,0.0723,-0.0241,75.02
bd_shs,n_rows,50281.0000,50127.0000,-154.0000,99.69
bd_shs,n_duplicate_rows,4.0000,0.0000,-4.0000,0.00
bd_shs,n_empty_or_whitespace,0.0000,0.0000,0.0000,0.00
bd_shs,n_zero_bangla,4.0000,0.0000,-4.0000,0.00
bd_shs,n_replacement_char,2548.0000,2545.0000,-3.0000,99.88
bd_shs,n_emoji_bearing,288.0000,288.0000,0.0000,100.00
bd_shs,pct_char_replacement,0.2432,0.2396,-0.0036,98.51
bd_shs,pct_char_emoji,0.0180,0.0178,-0.0002,98.61
bd_shs,pct_char_bengali,81.4915,81.8025,0.3110,100.38
bd_shs,pct_char_latin,0.1451,0.1154,-0.0298,79.49
bd_shs,pct_char_digit,0.0221,0.0117,-0.0104,52.98
bd_shs,pct_char_punctuation,1.0298,1.0034,-0.0264,97.44
bd_shs,pct_char_whitespace,16.9835,16.7441,-0.2394,98.59
bd_shs,pct_char_other,0.0667,0.0655,-0.0012,98.24
banfakenews,n_rows,8501.0000,8489.0000,-12.0000,99.86
banfakenews,n_duplicate_rows,0.0000,0.0000,0.0000,0.00
banfakenews,n_empty_or_whitespace,0.0000,0.0000,0.0000,0.00
banfakenews,n_zero_bangla,2.0000,0.0000,-2.0000,0.00
banfakenews,n_replacement_char,0.0000,0.0000,0.0000,0.00
banfakenews,n_emoji_bearing,18.0000,18.0000,0.0000,100.00
banfakenews,pct_char_replacement,0.0000,0.0000,0.0000,0.00
banfakenews,pct_char_emoji,0.0002,0.0002,-0.0000,98.26
banfakenews,pct_char_bengali,82.0429,82.4982,0.4553,100.56
banfakenews,pct_char_latin,0.1303,0.0993,-0.0311,76.17
banfakenews,pct_char_digit,0.0043,0.0030,-0.0014,68.12
banfakenews,pct_char_punctuation,2.3611,2.3143,-0.0468,98.02
banfakenews,pct_char_whitespace,15.4351,15.0587,-0.3764,97.56
banfakenews,pct_char_other,0.0260,0.0264,0.0003,101.32
